platform,algorithm,operation,message_size,run,ops,latency_ms
ubuntu-linux,rsa-pss-3072,sign,1KiB,15,1,2.315449
ubuntu-linux,rsa-pss-3072,verify,1KiB,15,1,0.351121
ubuntu-linux,rsa-pss-3072,sign,1KiB,16,1,2.302806
ubuntu-linux,rsa-pss-3072,verify,1KiB,16,1,0.394142
ubuntu-linux,rsa-pss-3072,sign,1KiB,17,1,2.315419
ubuntu-linux,rsa-pss-3072,verify,1KiB,17,1,0.358756
ubuntu-linux,rsa-pss-3072,sign,1KiB,18,1,2.300822
ubuntu-linux,rsa-pss-3072,verify,1KiB,18,1,0.319030
ubuntu-linux,rsa-pss-3072,sign,1KiB,19,1,2.303026
ubuntu-linux,rsa-pss-3072,verify,1KiB,19,1,0.320504
ubuntu-linux,rsa-pss-3072,sign,1KiB,20,1,2.304669
ubuntu-linux,rsa-pss-3072,verify,1KiB,20,1,0.328729
ubuntu-linux,rsa-pss-3072,sign,1KiB,21,1,2.292697
ubuntu-linux,rsa-pss-3072,verify,1KiB,21,1,0.334660
ubuntu-linux,rsa-pss-3072,sign,1KiB,22,1,2.302184
ubuntu-linux,rsa-pss-3072,verify,1KiB,22,1,0.348857
ubuntu-linux,rsa-pss-3072,sign,1KiB,23,1,2.332812
ubuntu-linux,rsa-pss-3072,verify,1KiB,23,1,0.332776
ubuntu-linux,rsa-pss-3072,sign,1KiB,24,1,2.285213
ubuntu-linux,rsa-pss-3072,verify,1KiB,24,1,0.309493
ubuntu-linux,rsa-pss-3072,sign,1KiB,25,1,2.297435
ubuntu-linux,rsa-pss-3072,verify,1KiB,25,1,0.335342
ubuntu-linux,rsa-pss-3072,sign,1KiB,26,1,2.310550
ubuntu-linux,rsa-pss-3072,verify,1KiB,26,1,0.335161
ubuntu-linux,rsa-pss-3072,sign,1KiB,27,1,2.297606
ubuntu-linux,rsa-pss-3072,verify,1KiB,27,1,0.374976
ubuntu-linux,rsa-pss-3072,sign,1KiB,28,1,2.331500
ubuntu-linux,rsa-pss-3072,verify,1KiB,28,1,0.369946
ubuntu-linux,rsa-pss-3072,sign,1KiB,29,1,2.348171
